ID	Sex	Ci
1	2	5
2	2	8
3	2	7
4	2	5
5	2	2
6	2	5
7	2	5
8	2	5
9	2	5
10	2	3
11	2	3
12	2	11
13	2	9
14	2	9
15	2	9
16	2	9
17	2	10
18	2	10
19	2	10
20	2	10
21	2	10
22	2	11
23	2	8
24	2	8
25	2	10
26	2	10
27	2	4
28	2	4
29	2	9
30	2	9
31	2	11
32	2	10
33	2	13
34	2	12
35	2	14
36	2	13
37	2	16
38	1	9
39	1	8
40	1	7
41	1	9
42	1	8
43	1	10
44	1	7
45	1	10
46	1	10
47	1	11
48	1	10
49	1	12
50	1	13
51	1	13
52	1	12
53	1	14
54	1	15
55	1	15
56	1	15
57	1	15
58	1	15
59	1	16
60	1	16
61	1	1
62	2	1
63	1	1
64	2	1
65	1	1
66	1	2
67	2	1
68	1	1
69	2	1
70	2	1
71	1	1
72	2	1
73	2	1
74	2	1
75	2	1
76	1	1
77	2	2
78	1	6
79	1	1
80	2	1
81	2	3
82	2	1
83	2	1
84	1	1
85	1	1
86	1	2
87	1	5
88	1	3
89	1	1
90	1	3
91	2	1
92	2	3
93	1	1
94	2	3
95	1	4
96	2	1
97	1	1
98	1	3
99	2	3
100	1	3
101	1	2
102	1	3
103	1	3
104	1	3
105	1	3
106	1	6
107	1	3
108	1	2
109	1	2
110	1	2
111	1	2
112	1	1
113	2	3
114	1	1
115	1	5
116	1	3
117	1	3
118	1	2
119	1	3
120	1	1
121	1	2
122	1	1
123	2	4
124	1	1
125	1	3
126	1	2
127	1	1
128	1	1
129	1	4
130	1	1
131	1	5
132	1	4
133	2	1
134	1	5
135	2	1
136	1	3
137	1	2
138	2	4
139	1	3
140	2	2
141	1	1
142	2	2
143	1	1
144	1	3
145	1	4
146	2	4
147	2	1
148	2	2
149	2	3
150	1	4
151	2	3
152	2	1
153	2	1
154	1	4
155	2	3
156	1	1
157	1	2
158	1	4
159	1	2
160	1	3
161	2	1
162	1	4
163	1	2
164	1	2
165	2	4
166	1	3
167	1	3
168	1	3
169	1	2
170	1	8
171	2	1
172	1	3
173	1	2
174	1	3
175	2	3
176	1	2
177	2	2
178	1	1
179	1	4
180	1	4
181	2	1
182	1	5
183	1	4
184	2	1
185	1	1
186	2	1
187	1	3
188	1	2
189	1	2
190	1	2
191	1	4
192	1	3
193	2	2
194	1	1
195	1	1
196	1	5
197	1	5
198	2	3
199	1	3
200	1	2
201	1	3
202	2	1
203	1	2
204	1	4
205	2	4
206	2	2
207	1	1
208	1	3
209	1	3
210	1	5
211	1	1
212	2	2
213	1	1
214	1	2
215	2	3
216	1	2
217	2	1
218	2	3
219	1	5
220	2	1
221	1	1
222	1	4
223	2	2
224	1	1
225	2	2
226	2	3
227	1	4
228	1	1
229	2	2
230	2	2
231	1	1
232	2	3
233	1	3
234	1	8
235	1	2
236	2	1
237	2	1
238	1	1
239	2	1
240	2	1
241	1	1
242	1	1
243	2	1
244	1	1
245	1	1
246	1	1
247	2	1
248	2	1
249	2	2
250	1	1
251	2	1
252	1	1
253	1	1
254	1	3
255	1	1
256	1	1
257	1	1
258	2	1
259	1	1
260	2	1
